Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status,Observation
E01011538,Leeds 107B,Economically active and a full-time student,17
E01011538,Leeds 107B,Economically inactive: Retired,296
E01011538,Leeds 107B,Economically inactive: Student,42
E01011538,Leeds 107B,Economically inactive: Looking after home or family,54
E01011538,Leeds 107B,Economically inactive: Long-term sick or disabled,96
E01011538,Leeds 107B,Economically inactive: Other,38
E01011540,Leeds 102B,Does not apply,459
E01011540,Leeds 102B,Economically active (excluding full-time students): In employment: Employee: Part-time,190
E01011540,Leeds 102B,Economically active (excluding full-time students): In employment: Employee: Full-time,643
E01011540,Leeds 102B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01011540,Leeds 102B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01011540,Leeds 102B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,34
E01011540,Leeds 102B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,48
E01011540,Leeds 102B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,44
E01011540,Leeds 102B,Economically active and a full-time student: In employment: Employee: Part-time,18
E01011540,Leeds 102B,Economically active and a full-time student: In employment: Employee: Full-time,0
E01011540,Leeds 102B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01011540,Leeds 102B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01011540,Leeds 102B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011540,Leeds 102B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011540,Leeds 102B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011540,Leeds 102B,Economically active and a full-time student,25
E01011540,Leeds 102B,Economically inactive: Retired,258
E01011540,Leeds 102B,Economically inactive: Student,58
E01011540,Leeds 102B,Economically inactive: Looking after home or family,86
E01011540,Leeds 102B,Economically inactive: Long-term sick or disabled,101
E01011540,Leeds 102B,Economically inactive: Other,50
E01011541,Leeds 104B,Does not apply,192
E01011541,Leeds 104B,Economically active (excluding full-time students): In employment: Employee: Part-time,182
E01011541,Leeds 104B,Economically active (excluding full-time students): In employment: Employee: Full-time,724
E01011541,Leeds 104B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,0
E01011541,Leeds 104B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,9
E01011541,Leeds 104B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,30
E01011541,Leeds 104B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,57
E01011541,Leeds 104B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,38
E01011541,Leeds 104B,Economically active and a full-time student: In employment: Employee: Part-time,13
E01011541,Leeds 104B,Economically active and a full-time student: In employment: Employee: Full-time,4
E01011541,Leeds 104B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011541,Leeds 104B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011541,Leeds 104B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,5
E01011541,Leeds 104B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011541,Leeds 104B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,17
E01011541,Leeds 104B,Economically active and a full-time student,39
E01011541,Leeds 104B,Economically inactive: Retired,476
E01011541,Leeds 104B,Economically inactive: Student,64
E01011541,Leeds 104B,Economically inactive: Looking after home or family,28
E01011541,Leeds 104B,Economically inactive: Long-term sick or disabled,137
E01011541,Leeds 104B,Economically inactive: Other,60
E01011545,Leeds 104C,Does not apply,211
E01011545,Leeds 104C,Economically active (excluding full-time students): In employment: Employee: Part-time,126
E01011545,Leeds 104C,Economically active (excluding full-time students): In employment: Employee: Full-time,501
E01011545,Leeds 104C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,1
E01011545,Leeds 104C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01011545,Leeds 104C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,19
E01011545,Leeds 104C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,38
E01011545,Leeds 104C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E01011545,Leeds 104C,Economically active and a full-time student: In employment: Employee: Part-time,17
E01011545,Leeds 104C,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011545,Leeds 104C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011545,Leeds 104C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011545,Leeds 104C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011545,Leeds 104C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011545,Leeds 104C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011545,Leeds 104C,Economically active and a full-time student,25
E01011545,Leeds 104C,Economically inactive: Retired,241
E01011545,Leeds 104C,Economically inactive: Student,42
E01011545,Leeds 104C,Economically inactive: Looking after home or family,50
E01011545,Leeds 104C,Economically inactive: Long-term sick or disabled,41
E01011545,Leeds 104C,Economically inactive: Other,16
E01011546,Leeds 106C,Does not apply,336
E01011546,Leeds 106C,Economically active (excluding full-time students): In employment: Employee: Part-time,152
E01011546,Leeds 106C,Economically active (excluding full-time students): In employment: Employee: Full-time,578
E01011546,Leeds 106C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011546,Leeds 106C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,6
E01011546,Leeds 106C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,35
E01011546,Leeds 106C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,57
E01011546,Leeds 106C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,37
E01011546,Leeds 106C,Economically active and a full-time student: In employment: Employee: Part-time,8
E01011546,Leeds 106C,Economically active and a full-time student: In employment: Employee: Full-time,5
E01011546,Leeds 106C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011546,Leeds 106C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011546,Leeds 106C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011546,Leeds 106C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011546,Leeds 106C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01011546,Leeds 106C,Economically active and a full-time student,19
E01011546,Leeds 106C,Economically inactive: Retired,315
E01011546,Leeds 106C,Economically inactive: Student,50
E01011546,Leeds 106C,Economically inactive: Looking after home or family,44
E01011546,Leeds 106C,Economically inactive: Long-term sick or disabled,60
E01011546,Leeds 106C,Economically inactive: Other,34
E01011547,Leeds 104D,Does not apply,347
E01011547,Leeds 104D,Economically active (excluding full-time students): In employment: Employee: Part-time,197
E01011547,Leeds 104D,Economically active (excluding full-time students): In employment: Employee: Full-time,706
E01011547,Leeds 104D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011547,Leeds 104D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,21
E01011547,Leeds 104D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,29
E01011547,Leeds 104D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,55
E01011547,Leeds 104D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,55
E01011547,Leeds 104D,Economically active and a full-time student: In employment: Employee: Part-time,30
E01011547,Leeds 104D,Economically active and a full-time student: In employment: Employee: Full-time,8
E01011547,Leeds 104D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011547,Leeds 104D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011547,Leeds 104D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011547,Leeds 104D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011547,Leeds 104D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011547,Leeds 104D,Economically active and a full-time student,43
E01011547,Leeds 104D,Economically inactive: Retired,289
E01011547,Leeds 104D,Economically inactive: Student,71
E01011547,Leeds 104D,Economically inactive: Looking after home or family,50
E01011547,Leeds 104D,Economically inactive: Long-term sick or disabled,89
E01011547,Leeds 104D,Economically inactive: Other,37
E01011548,Leeds 106D,Does not apply,292
E01011548,Leeds 106D,Economically active (excluding full-time students): In employment: Employee: Part-time,144
E01011548,Leeds 106D,Economically active (excluding full-time students): In employment: Employee: Full-time,427
E01011548,Leeds 106D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011548,Leeds 106D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01011548,Leeds 106D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,45
E01011548,Leeds 106D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,46
E01011548,Leeds 106D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01011548,Leeds 106D,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011548,Leeds 106D,Economically active and a full-time student: In employment: Employee: Full-time,1
E01011548,Leeds 106D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011548,Leeds 106D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011548,Leeds 106D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011548,Leeds 106D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01011548,Leeds 106D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01011548,Leeds 106D,Economically active and a full-time student,20
E01011548,Leeds 106D,Economically inactive: Retired,346
E01011548,Leeds 106D,Economically inactive: Student,40
E01011548,Leeds 106D,Economically inactive: Looking after home or family,36
E01011548,Leeds 106D,Economically inactive: Long-term sick or disabled,30
E01011548,Leeds 106D,Economically inactive: Other,26
E01011549,Leeds 108C,Does not apply,275
E01011549,Leeds 108C,Economically active (excluding full-time students): In employment: Employee: Part-time,172
E01011549,Leeds 108C,Economically active (excluding full-time students): In employment: Employee: Full-time,512
E01011549,Leeds 108C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01011549,Leeds 108C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,19
E01011549,Leeds 108C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,42
E01011549,Leeds 108C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,51
E01011549,Leeds 108C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,25
E01011549,Leeds 108C,Economically active and a full-time student: In employment: Employee: Part-time,18
E01011549,Leeds 108C,Economically active and a full-time student: In employment: Employee: Full-time,0
E01011549,Leeds 108C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011549,Leeds 108C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011549,Leeds 108C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011549,Leeds 108C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011549,Leeds 108C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01011549,Leeds 108C,Economically active and a full-time student,22
E01011549,Leeds 108C,Economically inactive: Retired,223
E01011549,Leeds 108C,Economically inactive: Student,42
E01011549,Leeds 108C,Economically inactive: Looking after home or family,28
E01011549,Leeds 108C,Economically inactive: Long-term sick or disabled,10
E01011549,Leeds 108C,Economically inactive: Other,5
E01011550,Leeds 106E,Does not apply,250
E01011550,Leeds 106E,Economically active (excluding full-time students): In employment: Employee: Part-time,149
E01011550,Leeds 106E,Economically active (excluding full-time students): In employment: Employee: Full-time,471
E01011550,Leeds 106E,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011550,Leeds 106E,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,11
E01011550,Leeds 106E,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,21
E01011550,Leeds 106E,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,52
E01011550,Leeds 106E,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,18
E01011550,Leeds 106E,Economically active and a full-time student: In employment: Employee: Part-time,17
E01011550,Leeds 106E,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011550,Leeds 106E,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011550,Leeds 106E,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01011550,Leeds 106E,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011550,Leeds 106E,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011550,Leeds 106E,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,7
E01011550,Leeds 106E,Economically active and a full-time student,28
E01011550,Leeds 106E,Economically inactive: Retired,261
E01011550,Leeds 106E,Economically inactive: Student,34
E01011550,Leeds 106E,Economically inactive: Looking after home or family,23
E01011550,Leeds 106E,Economically inactive: Long-term sick or disabled,21
E01011550,Leeds 106E,Economically inactive: Other,12
E01011551,Leeds 107C,Does not apply,369
E01011551,Leeds 107C,Economically active (excluding full-time students): In employment: Employee: Part-time,183
E01011551,Leeds 107C,Economically active (excluding full-time students): In employment: Employee: Full-time,681
E01011551,Leeds 107C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,1
E01011551,Leeds 107C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,9
E01011551,Leeds 107C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,38
E01011551,Leeds 107C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,80
E01011551,Leeds 107C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,24
E01011551,Leeds 107C,Economically active and a full-time student: In employment: Employee: Part-time,11
E01011551,Leeds 107C,Economically active and a full-time student: In employment: Employee: Full-time,4
E01011551,Leeds 107C,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011551,Leeds 107C,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011551,Leeds 107C,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011551,Leeds 107C,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011551,Leeds 107C,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01011551,Leeds 107C,Economically active and a full-time student,25
E01011551,Leeds 107C,Economically inactive: Retired,179
E01011551,Leeds 107C,Economically inactive: Student,60
E01011551,Leeds 107C,Economically inactive: Looking after home or family,36
E01011551,Leeds 107C,Economically inactive: Long-term sick or disabled,39
E01011551,Leeds 107C,Economically inactive: Other,30
E01011552,Leeds 107D,Does not apply,356
E01011552,Leeds 107D,Economically active (excluding full-time students): In employment: Employee: Part-time,133
E01011552,Leeds 107D,Economically active (excluding full-time students): In employment: Employee: Full-time,396
E01011552,Leeds 107D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01011552,Leeds 107D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,3
E01011552,Leeds 107D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,32
E01011552,Leeds 107D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,47
E01011552,Leeds 107D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,41
E01011552,Leeds 107D,Economically active and a full-time student: In employment: Employee: Part-time,22
E01011552,Leeds 107D,Economically active and a full-time student: In employment: Employee: Full-time,7
E01011552,Leeds 107D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01011552,Leeds 107D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011552,Leeds 107D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011552,Leeds 107D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011552,Leeds 107D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011552,Leeds 107D,Economically active and a full-time student,36
E01011552,Leeds 107D,Economically inactive: Retired,210
E01011552,Leeds 107D,Economically inactive: Student,46
E01011552,Leeds 107D,Economically inactive: Looking after home or family,83
E01011552,Leeds 107D,Economically inactive: Long-term sick or disabled,101
E01011552,Leeds 107D,Economically inactive: Other,36
E01011553,Leeds 108D,Does not apply,231
E01011553,Leeds 108D,Economically active (excluding full-time students): In employment: Employee: Part-time,145
E01011553,Leeds 108D,Economically active (excluding full-time students): In employment: Employee: Full-time,460
E01011553,Leeds 108D,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01011553,Leeds 108D,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
E01011553,Leeds 108D,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,37
E01011553,Leeds 108D,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,54
E01011553,Leeds 108D,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,21
E01011553,Leeds 108D,Economically active and a full-time student: In employment: Employee: Part-time,11
E01011553,Leeds 108D,Economically active and a full-time student: In employment: Employee: Full-time,0
E01011553,Leeds 108D,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011553,Leeds 108D,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011553,Leeds 108D,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011553,Leeds 108D,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011553,Leeds 108D,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011553,Leeds 108D,Economically active and a full-time student,16
E01011553,Leeds 108D,Economically inactive: Retired,295
E01011553,Leeds 108D,Economically inactive: Student,30
E01011553,Leeds 108D,Economically inactive: Looking after home or family,32
E01011553,Leeds 108D,Economically inactive: Long-term sick or disabled,30
E01011553,Leeds 108D,Economically inactive: Other,14
E01011554,Leeds 012A,Does not apply,305
E01011554,Leeds 012A,Economically active (excluding full-time students): In employment: Employee: Part-time,130
E01011554,Leeds 012A,Economically active (excluding full-time students): In employment: Employee: Full-time,397
E01011554,Leeds 012A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011554,Leeds 012A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,22
E01011554,Leeds 012A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,46
E01011554,Leeds 012A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,46
E01011554,Leeds 012A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,18
E01011554,Leeds 012A,Economically active and a full-time student: In employment: Employee: Part-time,13
E01011554,Leeds 012A,Economically active and a full-time student: In employment: Employee: Full-time,5
E01011554,Leeds 012A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011554,Leeds 012A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011554,Leeds 012A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011554,Leeds 012A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011554,Leeds 012A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01011554,Leeds 012A,Economically active and a full-time student,20
E01011554,Leeds 012A,Economically inactive: Retired,330
E01011554,Leeds 012A,Economically inactive: Student,53
E01011554,Leeds 012A,Economically inactive: Looking after home or family,35
E01011554,Leeds 012A,Economically inactive: Long-term sick or disabled,18
E01011554,Leeds 012A,Economically inactive: Other,20
E01011555,Leeds 018A,Does not apply,280
E01011555,Leeds 018A,Economically active (excluding full-time students): In employment: Employee: Part-time,129
E01011555,Leeds 018A,Economically active (excluding full-time students): In employment: Employee: Full-time,381
E01011555,Leeds 018A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01011555,Leeds 018A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01011555,Leeds 018A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,43
E01011555,Leeds 018A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,48
E01011555,Leeds 018A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,19
E01011555,Leeds 018A,Economically active and a full-time student: In employment: Employee: Part-time,5
E01011555,Leeds 018A,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011555,Leeds 018A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011555,Leeds 018A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011555,Leeds 018A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01011555,Leeds 018A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011555,Leeds 018A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01011555,Leeds 018A,Economically active and a full-time student,11
E01011555,Leeds 018A,Economically inactive: Retired,331
E01011555,Leeds 018A,Economically inactive: Student,43
E01011555,Leeds 018A,Economically inactive: Looking after home or family,35
E01011555,Leeds 018A,Economically inactive: Long-term sick or disabled,24
E01011555,Leeds 018A,Economically inactive: Other,20
E01011556,Leeds 015A,Does not apply,293
E01011556,Leeds 015A,Economically active (excluding full-time students): In employment: Employee: Part-time,161
E01011556,Leeds 015A,Economically active (excluding full-time students): In employment: Employee: Full-time,528
E01011556,Leeds 015A,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01011556,Leeds 015A,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,11
E01011556,Leeds 015A,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,46
E01011556,Leeds 015A,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,60
E01011556,Leeds 015A,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,49
E01011556,Leeds 015A,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011556,Leeds 015A,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011556,Leeds 015A,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011556,Leeds 015A,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011556,Leeds 015A,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01011556,Leeds 015A,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011556,Leeds 015A,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,14
E01011556,Leeds 015A,Economically active and a full-time student,32
E01011556,Leeds 015A,Economically inactive: Retired,249
E01011556,Leeds 015A,Economically inactive: Student,73
E01011556,Leeds 015A,Economically inactive: Looking after home or family,58
E01011556,Leeds 015A,Economically inactive: Long-term sick or disabled,43
E01011556,Leeds 015A,Economically inactive: Other,41
E01011557,Leeds 015B,Does not apply,257
E01011557,Leeds 015B,Economically active (excluding full-time students): In employment: Employee: Part-time,128
E01011557,Leeds 015B,Economically active (excluding full-time students): In employment: Employee: Full-time,396
E01011557,Leeds 015B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,10
E01011557,Leeds 015B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,23
E01011557,Leeds 015B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,44
E01011557,Leeds 015B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,53
E01011557,Leeds 015B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,14
E01011557,Leeds 015B,Economically active and a full-time student: In employment: Employee: Part-time,14
E01011557,Leeds 015B,Economically active and a full-time student: In employment: Employee: Full-time,2
E01011557,Leeds 015B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011557,Leeds 015B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01011557,Leeds 015B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01011557,Leeds 015B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011557,Leeds 015B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01011557,Leeds 015B,Economically active and a full-time student,23
E01011557,Leeds 015B,Economically inactive: Retired,334
E01011557,Leeds 015B,Economically inactive: Student,33
E01011557,Leeds 015B,Economically inactive: Looking after home or family,48
E01011557,Leeds 015B,Economically inactive: Long-term sick or disabled,34
E01011557,Leeds 015B,Economically inactive: Other,22
E01011558,Leeds 018B,Does not apply,521
E01011558,Leeds 018B,Economically active (excluding full-time students): In employment: Employee: Part-time,179
E01011558,Leeds 018B,Economically active (excluding full-time students): In employment: Employee: Full-time,368
E01011558,Leeds 018B,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01011558,Leeds 018B,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,14
E01011558,Leeds 018B,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,47
E01011558,Leeds 018B,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,37
E01011558,Leeds 018B,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,60
E01011558,Leeds 018B,Economically active and a full-time student: In employment: Employee: Part-time,11
E01011558,Leeds 018B,Economically active and a full-time student: In employment: Employee: Full-time,3
E01011558,Leeds 018B,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01011558,Leeds 018B,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01011558,Leeds 018B,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01011558,Leeds 018B,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01011558,Leeds 018B,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01011558,Leeds 018B,Economically active and a full-time student,24
E01011558,Leeds 018B,Economically inactive: Retired,163
E01011558,Leeds 018B,Economically inactive: Student,73
E01011558,Leeds 018B,Economically inactive: Looking after home or family,125
E01011558,Leeds 018B,Economically inactive: Long-term sick or disabled,96
E01011558,Leeds 018B,Economically inactive: Other,63
E01011559,Leeds 018C,Does not apply,375
E01011559,Leeds 018C,Economically active (excluding full-time students): In employment: Employee: Part-time,143
E01011559,Leeds 018C,Economically active (excluding full-time students): In employment: Employee: Full-time,293
E01011559,Leeds 018C,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01011559,Leeds 018C,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,14
E01011559,Leeds 018C,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,41
E01011559,Leeds 018C,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,41
E01011559,Leeds 018C,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,45
E01011559,Leeds 018C,Economically active and a full-time student: In employment: Employee: Part-time,21
E01011559,Leeds 018C,Economically active and a full-time student: In employment: Employee: Full-time,4
